method,dataset,outcome,zone,n,mean,std,p_upper_clip,p_brake_0_1,sample_brake_fraction,v_after,delta_v,deterministic_upper_clip_fraction,deterministic_brake_fraction
instant-seed1,validation_D,all,steady,6424,2.5701429751860547,1.0972598791122437,0.9187931531001957,0.07265492526846112,0.07243831724782067,3.0,0.0,1.0,0.0
instant-seed1,validation_D,all,high_risk,467,2.5015129550366124,1.0972598791122437,0.9091782399969727,0.08149901035479451,0.08103586723768737,3.0,0.0,1.0,0.0
instant-seed1,validation_D,all,static_near,159,2.567001518213524,1.0972598791122437,0.9189290783133298,0.07250466383413981,0.06790487421383648,3.0,0.0,1.0,0.0
instant-seed1,validation_D,success,steady,5997,2.5757601234104626,1.0972598791122437,0.919388794711749,0.07211481657218442,0.07182236951809239,3.0,0.0,1.0,0.0
instant-seed1,validation_D,success,high_risk,249,2.525122272441665,1.0972598791122437,0.9114381725890763,0.07946536626905236,0.07950552208835342,3.0,0.0,1.0,0.0
instant-seed1,validation_D,success,static_near,115,2.567438393053801,1.0972598791122437,0.918653488457828,0.07276785771073678,0.06644021739130435,3.0,0.0,1.0,0.0
instant-seed1,validation_D,failure,steady,427,2.491252956680727,1.0972598791122437,0.9104276665791536,0.08024047995598178,0.08108899297423888,3.0,0.0,1.0,0.0
instant-seed1,validation_D,failure,high_risk,218,2.4745463493767135,1.0972598791122437,0.9065969408436066,0.08382184236098623,0.08278383027522936,3.0,0.0,1.0,0.0
instant-seed1,validation_D,failure,static_near,44,2.5658596862446177,1.0972598791122437,0.9196493699811189,0.07181677074757957,0.07173295454545454,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,all,steady,6887,2.566712295418816,1.0972598791122437,0.9189319149536418,0.07250446684047863,0.07185639610861043,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,all,high_risk,358,2.5161303095311425,1.0972598791122437,0.9101923545248225,0.080603322603957,0.07856145251396648,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,all,static_near,109,2.6639272641698155,1.0972598791122437,0.9327045096089985,0.05983870203111924,0.05834288990825688,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,success,steady,6151,2.5713417024810883,1.0972598791122437,0.9196065531738221,0.07188302387422693,0.07117237034628515,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,success,high_risk,73,2.526407049126821,1.0972598791122437,0.9140181869232761,0.07697661437355255,0.0742722602739726,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,success,static_near,68,2.6754548093851875,1.0972598791122437,0.9343926685274938,0.05828332009372494,0.0625,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,failure,steady,736,2.5280227806905042,1.0972598791122437,0.913293736023847,0.07769807510870452,0.07757302989130435,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,failure,high_risk,285,2.513498021845232,1.0972598791122437,0.9092124044718853,0.08153226892262201,0.07966008771929825,3.0,0.0,1.0,0.0
instant-seed1,common_encounters,failure,static_near,41,2.644808408690662,1.0972598791122437,0.9299046362807626,0.062418359878504893,0.051448170731707314,3.0,0.0,1.0,0.0
instant-seed2,validation_D,all,steady,6096,2.3371406114633313,1.0818873643875122,0.8761552467978746,0.11241925152870216,0.11217396653543307,3.0,0.0,1.0,0.0
instant-seed2,validation_D,all,high_risk,467,2.5549857710873036,1.0818873643875122,0.9190829972743488,0.07230910519926018,0.06989427194860813,3.0,0.0,1.0,0.0
instant-seed2,validation_D,all,static_near,180,2.410315779182646,1.0818873643875122,0.8910130960586559,0.09850377166056862,0.09635416666666667,3.0,0.0,1.0,0.0
instant-seed2,validation_D,success,steady,5662,2.310045717336061,1.0818873643875122,0.8714039334420276,0.11683579232480348,0.11673768103143765,3.0,0.0,1.0,0.0
instant-seed2,validation_D,success,high_risk,231,2.4521875087316936,1.0818873643875122,0.9044616766378694,0.08575626322907678,0.0854301948051948,3.0,0.0,1.0,0.0
instant-seed2,validation_D,success,static_near,122,2.257006808382566,1.0818873643875122,0.8670383280729257,0.1206750996584731,0.11808401639344263,3.0,0.0,1.0,0.0
instant-seed2,validation_D,failure,steady,434,2.6906228477504395,1.0818873643875122,0.9381412749564135,0.054800693953758216,0.05263536866359447,3.0,0.0,1.0,0.0
instant-seed2,validation_D,failure,high_risk,236,2.6556061041557184,1.0818873643875122,0.9333945441685304,0.059146844585329525,0.0546875,3.0,0.0,1.0,0.0
instant-seed2,validation_D,failure,static_near,58,2.7327932694862627,1.0818873643875122,0.9414427804424325,0.05186753000980399,0.05064655172413793,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,all,steady,6761,2.324034412572624,1.0818873643875122,0.874851782420262,0.11359136831698648,0.1133523147463393,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,all,high_risk,409,2.5743151390173615,1.0818873643875122,0.9225647353578328,0.0690805301131196,0.06998777506112469,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,all,static_near,186,2.529744014304171,1.0818873643875122,0.9135400797832485,0.07750373967318343,0.07972110215053764,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,success,steady,6269,2.3003303767733834,1.0818873643875122,0.8706093193564264,0.11753864211616762,0.11714886744297336,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,success,high_risk,162,2.6089549329545765,1.0818873643875122,0.9267191280665362,0.06526892611120788,0.06548996913580248,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,success,static_near,140,2.527114244018282,1.0818873643875122,0.9123654051793918,0.07861492481513785,0.07879464285714285,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,failure,steady,492,2.626068153274738,1.0818873643875122,0.9289086949145394,0.06329571903433094,0.06497713414634146,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,failure,high_risk,247,2.5515959219411317,1.0818873643875122,0.9198399919618413,0.07158044852732891,0.07293775303643725,3.0,0.0,1.0,0.0
instant-seed2,common_encounters,failure,static_near,46,2.5377476630003555,1.0818873643875122,0.9171151764036817,0.07412187184984388,0.08254076086956522,3.0,0.0,1.0,0.0
instant-seed3,validation_D,all,steady,6565,1.974276438289622,1.0339094400405884,0.8217563136069279,0.16228428123760688,0.16210729246001523,3.0,0.0,1.0,0.0
instant-seed3,validation_D,all,high_risk,675,1.8732692577220775,1.0339094400405884,0.7937699421698802,0.18882402722092406,0.19032407407407406,3.0,0.0,1.0,0.0
instant-seed3,validation_D,all,static_near,301,1.942679304617188,1.0339094400405884,0.8130866198038209,0.17050859412748828,0.171875,3.0,0.0,1.0,0.0
instant-seed3,validation_D,success,steady,5661,2.001120218706729,1.0339094400405884,0.8287797474407284,0.15565137827942166,0.15560689365836425,3.0,0.0,1.0,0.0
instant-seed3,validation_D,success,high_risk,341,1.8965508070859043,1.0339094400405884,0.7998481538897668,0.18308563944527725,0.1850714809384164,3.0,0.0,1.0,0.0
