scenario_id,scenario_type,variant,success,termination_reason,collision_type,episode_reward,steps,path_length,path_efficiency,mean_signed_route_offset,route_side,initial_linear_action,initial_angular_action,min_dynamic_center_distance,min_dynamic_clearance,risk_level,first_turn_time,first_slowdown_time,intervention_geometry_issue,matched_time_path_rms_difference,matched_time_action_rms_difference
4,crossing_left,mirror_y,True,success,none,957.433792342292,137,79.49999999999997,0.9577339737361086,-6.781314161255022,below,1.0,-0.3641953766345978,13.273100191368458,9.273100191368458,time_separated,0.0,,none,11.8882476690995,0.1198180615901947
4,crossing_left,reverse_dynamic,True,success,none,954.6372142569023,137,79.50000000000001,0.957733973736108,-7.164621355801666,below,1.0,-0.6449865102767944,57.40030340945676,53.40030340945676,time_separated,0.0,,none,0.6878879071537412,0.011585126630961895
4,crossing_left,slow_dynamic,True,success,none,955.8480470130929,136,78.89999999999999,0.9650171218253564,-6.87980320111974,below,1.0,-0.6147105693817139,37.015217271900795,33.015217271900795,time_separated,0.0,,none,0.2522173195377585,0.005165691487491131
5,crossing_left,baseline,True,success,none,946.1030017240045,131,75.90000000000002,0.9890608210256138,-0.8051219665353793,below,1.0,-0.1615360677242279,29.309067219191423,25.309067219191423,receding,0.0,,none,0.0,0.0
5,crossing_left,freeze_dynamic,True,success,none,945.7109830217155,131,75.89999999999998,0.9890608210256143,-1.0528136157111254,below,1.0,-0.17717650532722473,29.288660858499398,25.288660858499398,receding,0.0,,none,0.24002620235711822,0.0021547703072428703
5,crossing_left,mirror_y,True,success,none,949.8363910833043,132,76.49999999999999,0.9813034812528643,-3.8192989493112157,below,1.0,-0.45784813165664673,29.309067219191423,25.309067219191423,receding,0.0,,none,4.291569230836424,0.07068664580583572
5,crossing_left,reverse_dynamic,True,success,none,945.5008191544291,131,75.9,0.989060821025614,-1.2719458074946024,below,1.0,-0.19311851263046265,23.43018975043238,19.43018975043238,receding,0.0,,none,0.43587311245307536,0.004664863459765911
5,crossing_left,slow_dynamic,True,success,none,945.9329888958675,131,75.90000000000003,0.9890608210256135,-0.9512034623893334,below,1.0,-0.16930392384529114,29.309067219191423,25.309067219191423,receding,0.0,,none,0.12757922986034417,0.0010809683008119464
6,crossing_right,baseline,True,success,none,941.0749623723336,135,78.30000000000004,0.9530357303147031,-8.077780305368245,below,1.0,-0.47124096751213074,7.257900347342776,3.257900347342776,conflict,0.0,,none,0.0,0.0
6,crossing_right,freeze_dynamic,False,dynamic_collision,dynamic_collision,279.2800229725881,83,47.10000000000003,,-8.794974015257846,below,1.0,-0.4578835368156433,3.561128219844789,-0.4388717801552109,conflict,0.0,,none,0.2363595081186431,0.01237119734287262
6,crossing_right,mirror_y,True,success,none,943.8224877582131,136,78.90000000000002,0.9457883103123101,-8.833161794438784,below,1.0,-0.6731839776039124,13.536405183229927,9.536405183229927,conflict,0.0,,none,14.66926466600774,0.14034338295459747
6,crossing_right,reverse_dynamic,True,success,none,941.5484353009751,134,77.69999999999999,0.9603950795835432,-7.531108861052559,below,1.0,-0.44429001212120056,15.253743102420739,11.253743102420739,conflict,0.0,,target_static_sweep,0.6738827160164109,0.01354826521128416
6,crossing_right,slow_dynamic,False,dynamic_collision,dynamic_collision,254.37031592422773,79,44.7,,-8.900298414311425,below,1.0,-0.46459731459617615,3.6626128887875358,-0.33738711121246423,conflict,0.0,,none,0.09343872115617192,0.01003551296889782
7,crossing_right,baseline,True,success,none,973.8953114635547,139,80.7,0.9648919058522764,-6.4631497620444405,below,1.0,-0.49804210662841797,18.304639140798244,14.304639140798244,time_separated,0.0,,none,0.0,0.0
7,crossing_right,freeze_dynamic,True,success,none,974.9625452762249,140,81.30000000000004,0.9577709323773514,-7.159359199812401,below,1.0,-0.4777138829231262,10.52819556317187,6.52819556317187,time_separated,0.0,,none,0.7642314879031011,0.01336549874395132
7,crossing_right,mirror_y,False,dynamic_collision,dynamic_collision,80.95846829448433,48,26.10000000000002,,-7.047781039222905,below,1.0,-0.6698466539382935,3.458018000091594,-0.5419819999084061,time_separated,0.0,,none,10.448502410496715,0.22428330779075623
7,crossing_right,reverse_dynamic,False,dynamic_collision,dynamic_collision,217.74083626825885,73,41.10000000000002,,-9.057481447582067,below,1.0,-0.4555851221084595,3.885641319848656,-0.11435868015134387,time_separated,0.0,,none,1.0223153943154848,0.017006173729896545
7,crossing_right,slow_dynamic,True,success,none,971.784135694009,139,80.70000000000005,0.9648919058522759,-6.779161313430069,below,1.0,-0.48812252283096313,15.32341059670445,11.32341059670445,time_separated,0.0,,none,0.3409095219239441,0.005821612197905779
8,crossing_right,baseline,True,success,none,955.1853708938197,132,76.49999999999997,0.9898872182339553,-1.6134939602987695,below,1.0,-0.23533309996128082,29.917545422807923,25.917545422807923,receding,0.0,,none,0.0,0.0
8,crossing_right,freeze_dynamic,True,success,none,953.9202161541275,132,76.50000000000004,0.9898872182339543,-0.747863642252132,below,1.0,-0.21746379137039185,29.917545422807923,25.917545422807923,receding,0.0,,none,0.8328681273035962,0.008795215748250484
8,crossing_right,mirror_y,True,success,none,956.1296190864693,134,77.70000000000005,0.9745993847477157,-5.367634853681932,below,1.0,-0.4026234745979309,29.917545422807923,25.917545422807923,receding,0.0,,none,6.16940310617997,0.0732441172003746
