split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
same_distribution,predictive-seed1,overtaking,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",745.4539258440233,728.4937622828386,-16.960163561184686,5.4683081102552,9.21040469228023,-0.4644448001671195,0.4432291875780496,0.9766790779253861,27.48695652173914,1.0,1.0,2.8570356119441795,29,29,1.0,,14,0.23333333333333334,0,0.0,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,predictive-seed2,crossing_left,60,42,0.7,"[0.5749129205308552, 0.8010183386123089]",725.3498070857565,706.3078061457411,-19.042000940015424,4.170479940442454,7.447074417236695,-0.5096151542169434,-0.4895208309672059,0.946640414965239,28.17142857142857,1.0,1.0,3.0,23,23,1.0,,8,0.13333333333333333,10,0.16666666666666666,0,0.0,0,0.0,18,0.3
same_distribution,predictive-seed2,crossing_right,60,53,0.8833333333333333,"[0.7782121197582914, 0.9423227935994396]",880.9993661779642,870.1035591710216,-10.895807006942706,6.315798134547246,12.13146687412239,-0.3130914935171658,-0.4404052946843757,0.9641204560640813,27.7622641509434,1.0,1.0,3.0,15,15,1.0,,4,0.06666666666666667,3,0.05,0,0.0,0,0.0,7,0.11666666666666667
same_distribution,predictive-seed2,head_on,60,39,0.65,"[0.5236261884175486, 0.7583222559398244]",751.935833941128,731.6065958621988,-20.32923807892915,5.853146307979017,9.89942389156214,-0.5081955383120045,-0.6542313769657904,0.9557222380473186,28.06666666666667,1.0,1.0,3.0,27,27,1.0,,15,0.25,6,0.1,0,0.0,0,0.0,21,0.35
same_distribution,predictive-seed2,overtaking,60,34,0.5666666666666667,"[0.44103438776125564, 0.6842760319531324]",558.6083040186085,535.6130759467371,-22.995228071871455,6.079311068855128,9.722473153790524,-0.5497880964154707,-0.3954087484404036,0.9646634470915262,27.905882352941177,1.0,1.0,2.881271464702639,39,39,1.0,,18,0.3,8,0.13333333333333333,0,0.0,0,0.0,26,0.43333333333333335
same_distribution,predictive-seed3,crossing_left,60,48,0.8,"[0.6821819419437211, 0.8817149467710251]",814.2930238269106,802.910587153692,-11.38243667321866,5.279606130099556,13.748869387854825,-0.5245437311005574,-0.2859404185506435,0.9475085001520145,28.09583333333333,1.0,1.0,3.0,17,17,1.0,,7,0.11666666666666667,5,0.08333333333333333,0,0.0,0,0.0,12,0.2
same_distribution,predictive-seed3,crossing_right,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",801.8391728990357,788.5103568650468,-13.328816033989055,7.870782292101747,8.039280165824911,-0.3675339709197303,-0.4638743547576323,0.9395397023072188,28.45652173913044,0.9972303921568628,0.9969665144596651,3.0,19,19,1.0,,6,0.1,8,0.13333333333333333,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,predictive-seed3,head_on,60,38,0.6333333333333333,"[0.5068300063010303, 0.7437908331277456]",705.993714911733,677.7826076216822,-28.21110729005066,3.9860427284721016,12.762618552569792,-0.5424494748988442,-0.7599088268940171,0.9431244306571497,28.36315789473684,1.0,1.0,3.0,34,34,1.0,,19,0.31666666666666665,3,0.05,0,0.0,0,0.0,22,0.36666666666666664
same_distribution,predictive-seed3,overtaking,60,48,0.8,"[0.6821819419437211, 0.8817149467710251]",795.8585227094974,777.706844580484,-18.1516781290133,5.5535956397909,9.434122388945443,-0.447350903118318,0.833609132320098,0.9626156640628936,27.895833333333332,1.0,1.0,2.826408383484497,28,28,1.0,,12,0.2,0,0.0,0,0.0,0,0.0,12,0.2
same_distribution,DWA,crossing_left,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",965.5610002851931,965.5610002851931,0.0,3.9102526290472097,8.58176498952994,0.6913830759504389,0.5005228907669963,0.9874343452744536,28.433333333333337,0.8726637220435941,,2.999999999786108,38,0,0.0,21.773684210526316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,crossing_right,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",966.8715517498113,966.8715517498113,0.0,6.549004133554453,8.595615471982729,0.5061832433289002,0.5711525210135653,0.9914201217800541,28.39,0.8710637542756454,,2.993148937506879,25,0,0.0,21.528000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,head_on,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",970.5578231431354,970.5578231431354,0.0,5.811046056647368,7.915082837593526,0.5688431372799316,0.7988865835539771,0.9847024832439623,28.74666666666667,0.8754074805230431,,3.0,48,0,0.0,16.312499999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,overtaking,60,59,0.9833333333333333,"[0.9114487027240993, 0.9970518402052136]",949.2610359727049,949.2610359727049,0.0,6.311730399280818,7.41089102463917,0.5000072429739513,0.6912823238729935,0.9868378673158911,28.6406779661017,0.858999449374349,,2.8763841283166314,46,1,0.021739130434782608,22.244444444444444,0,0.0,0,0.0,1,0.016666666666666666,0,0.0,0,0.0
challenge,base-seed1,crossing_left,30,29,0.9666666666666667,"[0.8332960900859082, 0.9940914096183874]",936.4852878150717,936.4852878150717,0.0,4.821276830395618,10.24299144902616,-0.0491788976705702,3.5588270119703687,0.9776925909883579,27.16551724137931,1.0,1.0,3.0,5,5,1.0,,1,0.03333333333333333,0,0.0,0,0.0,0,0.0,1,0.03333333333333333
challenge,base-seed1,crossing_right,30,8,0.26666666666666666,"[0.14182663319596317, 0.4444796169518888]",218.52869349735641,218.52869349735641,0.0,13.42551506403975,3.666615750629966,-0.0223701557542606,-0.5817968863228673,0.9744625048777488,27.425,1.0,1.0,2.8808884250760687,23,23,1.0,,1,0.03333333333333333,21,0.7,0,0.0,0,0.0,22,0.7333333333333333
challenge,base-seed1,head_on,30,14,0.4666666666666667,"[0.30232388907699753, 0.638577003801267]",672.0361884645764,672.0361884645764,0.0,2.459853418636746,9.57672849494838,-0.5212055202437602,3.111639230925899,0.9679977977121524,27.628571428571426,1.0,1.0,3.0,19,19,1.0,,16,0.5333333333333333,0,0.0,0,0.0,0,0.0,16,0.5333333333333333
challenge,base-seed1,overtaking,30,19,0.6333333333333333,"[0.4551356365479487, 0.7812607919389929]",677.5764513078344,677.5764513078344,0.0,3.115701501707475,15.845857179301317,-0.2685269163269481,1.539841822184533,0.9589331248978631,28.0,1.0,1.0,2.932107408990704,19,19,1.0,,11,0.36666666666666664,0,0.0,0,0.0,0,0.0,11,0.36666666666666664
